,Barbecued Chicken,Red Peppers,Green Peppers,Tomatoes,Red Onions,Barbecue Sauce,Chicken,Artichoke,Spinach,Garlic,Jalapeno Peppers,Fontina Cheese,Gouda Cheese,Mushrooms,Asiago Cheese,Alfredo Sauce,Pesto Sauce,Corn,Cilantro,Chipotle Sauce,Pineapple,Thai Sweet Chilli Sauce,Bacon,Pepperoni,Italian Sausage,Chorizo Sausage,Sliced Ham,Mozzarella Cheese,Capocollo,Goat Cheese,Oregano,Anchovies,Green Olives,Kalamata Olives,Feta Cheese,Beef Chuck Roast,Brie Carre Cheese,Prosciutto,Caramelized Onions,Pears,Thyme,Â‘Nduja Salami,Pancetta,Friggitello Peppers,Calabrese Salami,Genoa Salami,Prosciutto di San Daniele,Arugula,Coarse Sicilian Salami,Luganega Sausage,Onions,Soppressata Salami,Artichokes,Peperoncini verdi,Provolone Cheese,Smoked Gouda Cheese,Romano Cheese,Blue Cheese,Ricotta Cheese,Gorgonzola Piccante Cheese,Parmigiano Reggiano Cheese,Eggplant,Zucchini,Sun-dried Tomatoes,Plum Tomatoes
0,96,574,175,948,675,96,299,80,310,975,202,108,80,272,113,33,91,122,122,122,163,93,98,286,29,29,71,368,257,133,57,49,205,122,151,63,7,7,7,7,7,23,23,23,78,47,48,48,56,56,56,29,196,77,72,72,72,72,75,75,75,29,76,58,27
1,86,669,188,1126,822,86,359,93,397,1220,243,130,93,369,154,48,112,150,150,150,193,106,125,386,36,36,88,482,304,146,56,48,247,154,211,78,9,9,9,9,9,40,40,40,89,70,57,57,79,79,79,37,238,90,88,88,88,88,102,102,102,37,96,75,40
2,113,689,221,1151,818,113,372,98,381,1164,258,133,98,336,130,31,113,160,160,160,186,109,113,365,33,33,78,435,284,143,59,66,243,140,188,75,8,8,8,8,8,37,37,37,77,66,50,50,75,75,75,36,223,84,81,81,81,81,85,85,85,38,100,70,32
3,98,654,210,1092,799,98,349,97,379,1193,233,135,97,353,131,38,109,136,136,136,192,108,116,347,38,38,85,474,276,133,59,74,251,141,196,73,11,11,11,11,11,34,34,34,82,63,65,65,71,71,71,39,215,74,97,97,97,97,102,102,102,42,103,70,38
4,117,713,221,1180,850,117,367,107,372,1245,264,149,107,350,141,40,112,157,157,157,192,106,124,363,37,37,87,457,303,154,73,66,249,146,191,85,11,11,11,11,11,47,47,47,81,70,61,61,81,81,81,43,219,81,78,78,78,78,99,99,99,42,99,65,31
5,104,685,220,1135,833,104,353,98,403,1226,240,133,98,368,142,45,104,143,143,143,185,94,118,357,39,39,92,463,333,180,80,52,234,135,190,66,13,13,13,13,13,44,44,44,93,61,59,59,66,66,66,36,237,100,82,82,82,82,99,99,99,33,105,68,33
6,114,710,221,1164,834,114,369,97,372,1212,267,134,97,343,118,39,119,171,171,171,184,98,117,342,35,35,87,475,268,142,59,60,258,146,193,85,11,11,11,11,11,40,40,40,79,48,55,55,88,88,88,38,220,83,85,85,85,85,111,111,111,44,105,63,31
7,97,675,207,1106,803,97,386,108,402,1149,259,144,108,347,124,33,116,151,151,151,212,114,124,352,36,36,99,451,270,131,55,60,236,146,195,73,10,10,10,10,10,42,42,42,80,61,62,62,67,67,67,37,219,76,75,75,75,75,93,93,93,34,93,81,43
8,95,665,219,1130,806,95,366,104,416,1215,253,147,104,369,145,35,111,149,149,149,193,98,115,382,37,37,95,485,289,148,65,61,241,157,201,74,8,8,8,8,8,40,40,40,74,68,51,51,73,73,73,44,237,84,88,88,88,88,107,107,107,37,106,74,41
9,118,736,228,1157,841,118,393,107,391,1185,276,146,107,374,158,53,110,170,170,170,215,109,124,363,38,38,107,469,302,156,68,55,235,129,179,60,11,11,11,11,11,39,39,39,79,69,71,71,71,71,71,40,236,88,79,79,79,79,90,90,90,42,103,70,34
10,103,706,218,1123,807,103,374,95,380,1183,255,128,95,359,119,38,106,160,160,160,204,121,125,345,42,42,84,463,276,154,70,58,230,137,193,73,12,12,12,12,12,37,37,37,74,49,57,57,66,66,66,34,218,85,85,85,85,85,119,119,119,35,96,67,32
11,105,677,213,1138,830,105,361,93,390,1196,244,127,93,361,144,39,113,151,151,151,197,105,126,362,37,37,93,449,305,147,55,56,238,153,210,85,10,10,10,10,10,31,31,31,86,73,53,53,68,68,68,35,236,92,82,82,82,82,104,104,104,36,97,76,36
12,103,696,201,1117,809,103,380,100,396,1183,264,145,100,361,140,46,121,164,164,164,198,104,124,353,35,35,95,455,292,156,62,48,221,150,202,76,9,9,9,9,9,30,30,30,74,64,53,53,75,75,75,46,244,94,84,84,84,84,90,90,90,33,85,88,44
13,107,720,211,1195,864,107,403,96,366,1212,255,146,96,363,152,48,95,159,159,159,221,126,121,360,38,38,96,470,320,169,73,63,247,166,202,88,11,11,11,11,11,48,48,48,89,63,64,64,67,67,67,51,236,96,79,79,79,79,95,95,95,36,92,63,38
14,110,733,209,1188,878,110,369,90,371,1224,263,134,90,362,147,45,104,173,173,173,205,116,119,351,31,31,90,450,316,161,73,52,232,172,223,98,8,8,8,8,8,42,42,42,89,67,57,57,61,61,61,45,227,88,78,78,78,78,98,98,98,37,91,68,40
15,107,710,223,1178,870,107,372,101,392,1223,270,146,101,369,146,32,102,169,169,169,205,113,130,371,35,35,93,431,302,143,61,58,236,168,211,90,9,9,9,9,9,42,42,42,82,78,44,44,72,72,72,46,228,82,76,76,76,76,98,98,98,35,100,75,42
16,110,711,217,1169,825,110,376,93,390,1219,243,133,93,356,130,32,127,150,150,150,196,110,134,367,39,39,87,460,307,153,58,56,254,151,195,81,9,9,9,9,9,32,32,32,94,61,56,56,73,73,73,41,232,96,85,85,85,85,107,107,107,39,98,61,34
17,104,675,204,1104,821,104,374,105,400,1161,250,135,105,352,149,45,115,146,146,146,189,96,122,368,36,36,94,433,296,143,65,51,227,147,199,77,10,10,10,10,10,39,39,39,87,67,49,49,63,63,63,31,221,78,70,70,70,70,93,93,93,36,93,70,33
18,109,675,218,1131,833,109,359,105,388,1215,260,147,105,361,133,40,121,155,155,155,200,104,126,380,40,40,96,475,289,150,57,56,227,158,203,86,11,11,11,11,11,39,39,39,84,56,46,46,63,63,63,43,256,93,78,78,78,78,111,111,111,44,95,84,36
19,109,682,208,1146,811,109,371,99,392,1231,239,149,99,375,130,37,114,140,140,140,205,114,138,387,40,40,92,507,315,166,60,56,252,140,203,71,12,12,12,12,12,40,40,40,84,66,58,58,82,82,82,50,248,106,94,94,94,94,107,107,107,33,86,83,43
20,108,689,211,1143,855,108,372,100,400,1198,257,134,100,362,139,36,102,157,157,157,200,110,135,378,41,41,90,444,300,156,61,58,241,156,205,75,11,11,11,11,11,40,40,40,87,58,48,48,70,70,70,35,241,95,75,75,75,75,105,105,105,31,86,71,37
21,109,665,198,1119,832,109,354,90,373,1165,242,133,90,343,133,42,108,152,152,152,179,94,124,346,42,42,86,457,303,148,66,55,253,154,210,79,7,7,7,7,7,43,43,43,97,59,64,64,70,70,70,43,225,83,84,84,84,84,93,93,93,35,81,77,44
22,99,680,212,1169,836,99,376,114,408,1281,276,156,114,364,150,37,112,162,162,162,176,99,122,377,38,38,78,465,329,157,70,59,257,147,198,78,11,11,11,11,11,38,38,38,96,77,58,58,73,73,73,42,230,88,91,91,91,91,110,110,110,34,92,72,33
23,103,688,222,1138,832,103,349,94,384,1198,249,131,94,366,139,42,105,155,155,155,207,105,122,361,36,36,102,470,289,155,72,68,245,146,189,70,8,8,8,8,8,46,46,46,75,60,66,66,74,74,74,38,231,83,81,81,81,81,100,100,100,33,95,78,39
24,92,645,190,1139,816,92,376,105,404,1214,250,147,105,350,144,43,105,145,145,145,198,110,109,331,34,34,88,425,291,148,58,63,257,165,218,86,12,12,12,12,12,45,45,45,80,64,45,45,82,82,82,43,234,90,88,88,88,88,86,86,86,30,84,78,42
25,108,712,219,1177,828,108,400,108,393,1209,260,149,108,357,135,37,118,152,152,152,217,126,120,365,33,33,92,447,313,160,68,61,241,144,190,80,9,9,9,9,9,41,41,41,89,65,54,54,66,66,66,42,230,92,78,78,78,78,90,90,90,34,92,72,32
26,110,728,221,1184,868,110,371,100,398,1226,259,145,100,387,124,36,120,159,159,159,211,115,148,393,43,43,97,480,309,162,69,59,256,157,214,78,10,10,10,10,10,45,45,45,91,57,59,59,71,71,71,46,256,93,81,81,81,81,99,99,99,45,100,88,49
27,104,718,211,1154,831,104,376,87,389,1194,255,135,87,379,142,35,103,169,169,169,199,120,128,366,35,35,80,460,307,158,68,53,225,136,196,67,11,11,11,11,11,43,43,43,77,73,65,65,64,64,64,49,220,91,91,91,91,91,90,90,90,27,89,69,35
28,107,678,207,1141,813,107,367,106,397,1234,260,143,106,350,139,37,108,154,154,154,183,103,115,357,36,36,81,472,299,160,68,51,238,156,215,82,12,12,12,12,12,38,38,38,75,65,60,60,81,81,81,38,239,92,85,85,85,85,116,116,116,41,95,70,39
29,100,712,214,1169,831,100,380,96,373,1210,265,129,96,348,134,39,97,169,169,169,221,122,126,364,41,41,100,484,304,173,64,65,228,148,193,78,9,9,9,9,9,44,44,44,68,64,58,58,68,68,68,34,244,109,105,105,105,105,92,92,92,34,101,71,40
30,102,684,212,1099,816,102,356,95,391,1144,256,135,95,364,132,33,109,162,162,162,186,99,138,380,41,41,87,425,269,140,60,61,226,145,187,72,10,10,10,10,10,35,35,35,72,58,45,45,64,64,64,41,215,80,76,76,76,76,85,85,85,28,86,67,32
31,98,684,201,1112,829,98,393,114,391,1166,273,149,114,347,130,43,110,159,159,159,200,106,129,354,38,38,95,443,288,142,61,62,244,135,180,67,9,9,9,9,9,49,49,49,91,57,59,59,68,68,68,35,218,81,78,78,78,78,87,87,87,32,86,75,39
32,94,659,203,1122,854,94,363,106,419,1219,260,143,106,380,132,37,110,154,154,154,197,102,122,371,37,37,96,453,292,145,55,61,259,162,233,79,11,11,11,11,11,35,35,35,93,56,52,52,77,77,77,38,247,90,73,73,73,73,97,97,97,43,97,75,44
33,96,676,202,1107,805,96,368,103,381,1181,255,153,103,365,124,35,109,153,153,153,197,109,133,360,42,42,89,462,295,155,71,62,233,136,187,72,10,10,10,10,10,38,38,38,83,58,58,58,65,65,65,51,226,85,76,76,76,76,99,99,99,34,92,78,34
34,102,639,198,1101,802,102,337,91,370,1145,240,122,91,335,131,40,102,149,149,149,176,93,107,338,32,32,84,421,282,144,63,64,253,154,213,88,10,10,10,10,10,32,32,32,80,60,49,49,77,77,77,32,214,81,78,78,78,78,85,85,85,31,83,71,36
35,104,706,213,1114,810,104,373,86,373,1153,233,123,86,366,134,44,100,147,147,147,214,118,122,356,32,32,96,474,290,152,73,60,243,135,187,68,12,12,12,12,12,33,33,33,82,56,56,56,71,71,71,37,207,79,82,82,82,82,108,108,108,28,90,66,34
36,96,702,212,1162,815,96,394,108,416,1220,268,143,108,363,136,35,127,160,160,160,211,118,126,382,38,38,94,469,319,152,66,55,247,140,200,69,12,12,12,12,12,36,36,36,94,74,57,57,67,67,67,36,241,87,96,96,96,96,90,90,90,37,97,91,44
37,107,695,210,1121,824,107,395,102,389,1181,254,136,102,351,131,40,121,152,152,152,200,110,127,366,35,35,91,464,283,146,57,62,231,146,196,75,10,10,10,10,10,43,43,43,78,60,58,58,68,68,68,35,226,89,85,85,85,85,104,104,104,35,84,72,40
38,90,601,177,970,722,90,322,84,329,983,221,120,84,308,117,39,101,138,138,138,175,93,110,304,34,34,83,368,232,116,55,54,210,135,171,70,7,7,7,7,7,32,32,32,72,45,43,43,59,59,59,37,197,61,58,58,58,58,74,74,74,35,81,70,33
39,111,733,219,1170,867,111,380,89,371,1194,258,126,89,387,139,48,111,169,169,169,208,111,139,389,37,37,98,477,292,156,69,64,254,150,208,82,11,11,11,11,11,40,40,40,79,58,63,63,77,77,77,38,227,87,84,84,84,84,97,97,97,38,87,70,35
40,89,604,172,1017,722,89,349,89,335,1077,238,131,89,301,122,27,88,150,150,150,184,106,108,326,35,35,79,457,265,128,51,54,225,123,162,58,10,10,10,10,10,35,35,35,78,60,66,66,69,69,69,43,195,77,82,82,82,82,102,102,102,28,75,56,31
41,103,684,208,1137,817,103,356,82,370,1185,232,120,82,351,142,40,112,150,150,150,202,107,117,349,36,36,95,469,282,152,62,62,232,159,205,85,9,9,9,9,9,38,38,38,68,62,67,67,77,77,77,39,236,90,76,76,76,76,109,109,109,42,101,65,35
42,80,648,187,1082,789,80,359,103,354,1154,247,140,103,352,141,46,94,144,144,144,182,104,126,360,36,36,78,424,298,147,60,64,247,135,177,73,9,9,9,9,9,44,44,44,87,65,52,52,68,68,68,37,212,87,75,75,75,75,94,94,94,36,94,61,33
43,86,636,174,1033,734,86,351,84,333,1065,233,119,84,316,132,36,101,149,149,149,188,109,126,356,36,36,79,438,257,129,53,55,214,132,167,67,9,9,9,9,9,40,40,40,64,66,59,59,68,68,68,36,202,76,79,79,79,79,94,94,94,28,74,68,35
44,105,683,189,1142,854,105,396,117,391,1220,288,158,117,338,147,47,101,171,171,171,195,108,122,355,40,40,88,454,300,148,58,60,243,161,210,87,9,9,9,9,9,38,38,38,86,66,59,59,75,75,75,41,227,90,79,79,79,79,95,95,95,30,75,74,41
45,105,688,200,1104,831,105,388,104,384,1149,264,142,104,344,140,48,102,160,160,160,199,101,124,346,39,39,99,447,299,145,65,51,241,138,181,64,11,11,11,11,11,43,43,43,96,59,55,55,71,71,71,38,217,80,69,69,69,69,97,97,97,29,85,75,42
46,104,674,203,1124,832,104,347,82,357,1151,240,117,82,331,128,37,102,158,158,158,203,111,122,338,36,36,92,431,286,141,52,56,234,148,191,79,9,9,9,9,9,49,49,49,86,60,54,54,70,70,70,36,219,89,79,79,79,79,86,86,86,27,86,74,39
47,116,783,236,1299,929,116,402,115,422,1374,294,156,115,393,146,41,128,179,179,179,228,125,144,392,41,41,104,499,328,168,74,65,274,168,223,97,12,12,12,12,12,45,45,45,87,74,65,65,98,98,98,42,259,94,88,88,88,88,112,112,112,46,114,88,41
48,103,728,215,1160,836,103,400,105,398,1218,278,140,105,361,133,41,116,173,173,173,223,120,124,362,38,38,104,467,311,160,64,59,242,132,187,66,9,9,9,9,9,31,31,31,90,62,54,54,72,72,72,36,232,96,73,73,73,73,107,107,107,35,96,72,37
49,101,695,213,1137,818,101,387,107,381,1175,267,144,107,359,147,37,98,160,160,160,216,119,125,366,35,35,98,439,292,142,54,57,238,129,173,63,10,10,10,10,10,45,45,45,80,72,54,54,77,77,77,37,220,88,70,70,70,70,97,97,97,38,103,57,29
50,102,694,212,1151,831,102,373,106,417,1209,242,141,106,348,135,38,123,136,136,136,195,109,121,361,37,37,87,438,304,157,73,53,241,178,221,92,11,11,11,11,11,35,35,35,88,60,58,58,76,76,76,36,247,84,70,70,70,70,91,91,91,43,107,83,50
51,85,619,178,973,702,85,332,81,334,991,215,106,81,313,110,34,90,134,134,134,200,112,123,310,39,39,88,383,242,129,59,40,195,127,181,65,8,8,8,8,8,38,38,38,61,52,46,46,66,66,66,25,191,70,66,66,66,66,89,89,89,30,82,68,39
52,75,503,157,815,594,75,264,74,282,869,185,106,74,267,94,28,84,112,112,112,136,74,96,266,28,28,63,338,213,112,50,45,173,99,130,50,7,7,7,7,7,28,28,28,60,42,41,41,50,50,50,33,168,62,57,57,57,57,78,78,78,26,72,57,25
